"주차장코드","주차장명","주소","주차장 종류","주차장 종류명","운영구분","운영구분명","전화번호","총 주자면","유무료구분","유무료구분명","야간무료개방여부","야간무료개방여부명","평일 운영 시작시각(HHMM)","평일 운영 종료시각(HHMM)","주말 운영 시작시각(HHMM)","주말 운영 종료시각(HHMM)","공휴일 운영 시작시각(HHMM)","공휴일 운영 종료시각(HHMM)","최종데이터 동기화 시간","토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명","월 정기권 금액","노상 주차장 관리그룹번호","기본 주차 요금","기본 주차 시간(분 단위)","추가 단위 요금","추가 단위 시간(분 단위)","버스 기본 주차 요금","버스 기본 주차 시간(분 단위)","버스 추가 단위 시간(분 단위)","버스 추가 단위 요금","일 최대 요금"
"171802","창신1동공영주차장(창일공영)(구)","종로구 창신동 82-0","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2236-0052","86","Y","유료","N","야간 미개방","0900","1800","0900","1800","0900","1800","2019-06-10 09:31:42","N","무료","N","무료","0","","2000","240","","","0","0","0","0","5000"
"171810","동묘공영주차장(구)","종로구 숭인동 227-8","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2236-0052","27","Y","유료","N","야간 미개방","0900","1800","0000","0000","0000","0000","2021-07-23 14:50:56","N","무료","N","무료","","","400","5","400","5","0","0","0","0",""
"171830","다동공원 제4부지 공영주차장(구)","중구 다동 39-3","NW","노외 주차장","3","시간제 + 거주자 주차장","02-756-7008","15","Y","유료","N","야간 미개방","0900","2300","0900","2300","0000","0000","2019-06-10 09:31:47","N","무료","N","무료","350000","","400","5","400","5","0","0","0","0","0"
"171900","훈련원공원 공영주차장(시)","중구 을지로5가 40-3","NW","노외 주차장","1","시간제 주차장","02-3405-4597","873","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2022-08-17 15:48:54","N","무료","N","무료","252000","","550","5","550","5","0","0","0","0",""
"171901","묵정공원지하 공영주차장(구)","중구 충무로5가 21-0","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2280-8368","499","Y","유료","N","야간 미개방","0000","2400","0000","0000","0000","0000","2021-05-26 13:42:06","N","무료","N","무료","350000","","400","5","400","5","0","0","0","0","0"
"171914","초동 공영주차장(구)","중구 초동 64-11","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2261-8360","73","Y","유료","N","야간 미개방","0700","2300","1000","1900","0800","1700","2019-06-10 09:31:57","N","무료","N","무료","200000","","400","5","400","5","0","0","0","0","0"
"171924","동화동 공영주차장(구)","중구 신당동 52-7","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2280-8368","233","Y","유료","N","야간 미개방","0000","2400","0000","0000","0000","0000","2021-05-26 15:05:34","N","무료","N","무료","140000","","150","5","150","5","0","0","0","0","0"
"171931","신당역 공영주차장(구)","중구 신당동 140-29","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2280-8368","29","Y","유료","N","야간 미개방","0000","2400","0000","0000","0000","0000","2021-05-26 15:04:31","N","무료","N","무료","240000","","250","5","250","5","0","0","0","0","0"
"171932","성곽 공영주차장(구)","중구 신당동 432-2026","NW","노외 주차장","1","시간제 주차장","02-2280-8360","39","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2022-10-18 15:24:29","N","무료","N","무료","140000","","150","5","150","5","0","0","0","0","0"
"171933","청구 공영주차장(구)","중구 신당동 330-17","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2280-8368","51","Y","유료","N","야간 미개방","0000","2400","0000","0000","0000","0000","2021-05-26 14:58:40","N","무료","N","무료","240000","","250","5","250","5","0","0","0","0","0"
"171939","충현 공영주차장(구)","중구 신당동 432-462","NW","노외 주차장","1","시간제 주차장","02-2280-8360","97","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2022-10-18 15:24:44","N","무료","N","무료","140000","","150","5","150","5","0","0","0","0","0"
"171941","다산동 공영주차장(구)","중구 신당동 432-1584","NW","노외 주차장","1","시간제 주차장","02-2280-8360","79","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2022-10-18 15:23:38","N","무료","N","무료","140000","","150","5","150","5","0","0","0","0","0"
"171944","버티 공영주차장(구)","중구 신당동 432-1693","NW","노외 주차장","1","시간제 주차장","02-2280-8360","83","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2022-10-18 15:24:14","N","무료","N","무료","140000","","150","5","150","5","0","0","0","0","0"
"171945","동산 공영주차장(구)","중구 신당동 333-260","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2280-8368","83","Y","유료","N","야간 미개방","0000","2400","0000","0000","0000","0000","2021-05-26 14:57:24","N","무료","N","무료","140000","","150","5","150","5","0","0","0","0","0"
"171953","서소문삼성생명뒤(구)","중구 서소문동 122-0","NW","노외 주차장","1","시간제 주차장","02-310-9588","49","Y","유료","N","야간 미개방","0800","2200","0900","1800","0000","0000","2023-02-17 18:29:05","N","무료","Y","유료","0","","400","5","400","5","0","0","0","0","0"
"171956","문화공영주차장(구)","중구 신당동 425-1","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2252-5314","31","Y","유료","N","야간 미개방","0700","2300","0900","1800","0900","1800","2019-06-10 09:32:06","N","무료","N","무료","140000","","150","5","150","5","0","0","0","0","0"
"171965","신당사거리 공영주차장(구)","중구 신당동 110-1","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2280-8368","45","Y","유료","N","야간 미개방","0000","2400","0000","0000","0000","0000","2021-05-26 15:02:07","N","무료","N","무료","240000","","250","5","250","5","0","0","0","0","0"
"171966","약수동 공영주차장(구)","중구 신당동 349-234","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2280-8368","89","Y","유료","N","야간 미개방","0000","2400","0000","0000","0000","0000","2021-05-26 14:55:35","N","무료","N","무료","140000","","150","5","150","5","0","0","0","0","0"
"171971","장충 공영주차장(구)","중구 장충동2가 193-39","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2280-8368","106","Y","유료","N","야간 미개방","0000","2400","0000","0000","0000","0000","2021-05-26 13:50:27","N","무료","N","무료","140000","","150","5","150","5","0","0","0","0","0"
"171975","손기정체육공원 공영주차장(구)","중구 만리동2가 6-1","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2280-8368","162","Y","유료","N","야간 미개방","0000","2400","0000","0000","0000","0000","2021-05-26 15:06:21","N","무료","N","무료","140000","","150","5","150","5","0","0","0","0","0"
"171997","서계동공영주차장(구)","용산구 서계동 276-5","NW","노외 주차장","1","시간제 주차장","02-749-5314","36","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:30:58","N","무료","N","무료","140000","","150","5","150","5","0","0","0","0","0"
"172005","신창공영주차장(구)","용산구 신창동 53-1","NW","노외 주차장","1","시간제 주차장","02-711-1924","110","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:30:59","N","무료","N","무료","140000","","150","5","150","5","0","0","0","0","0"
"172007","용문동 공영주차장(구)","용산구 도원동 4-5","NW","노외 주차장","1","시간제 주차장","02-749-5314","41","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2020-09-18 14:58:38","N","무료","N","무료","98000","","150","5","150","5","0","0","0","0","0"
"172015","용산전자상가3(구)","용산구 한강로3가 19-2","NW","노외 주차장","1","시간제 주차장","02-707-3195","167","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:31:00","N","무료","N","무료","130000","","250","5","250","5","0","0","0","0",""
"172018","용산전자상가5(구)","용산구 한강로3가 2-1","NW","노외 주차장","1","시간제 주차장","02-707-3164","42","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:31:00","N","무료","N","무료","130000","","250","5","250","5","0","0","0","0",""
"172021","용산전자상가2(구)","용산구 한강로3가 14-1","NW","노외 주차장","1","시간제 주차장","02-707-3149","196","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:34:15","N","무료","N","무료","130000","","250","5","250","5","0","0","0","0",""
"172027","용산전자상가1(구)","용산구 한강로3가 12-0","NW","노외 주차장","1","시간제 주차장","02-707-3105","202","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2019-06-10 09:34:15","N","무료","N","무료","130000","","250","5","250","5","0","0","0","0",""
"172037","한남유수지공영주차장(구)","용산구 한남동 522-44","NW","노외 주차장","1","시간제 주차장","02-749-9631","124","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2020-07-31 15:28:03","N","무료","N","무료","120000","","150","5","150","5","0","0","0","0","0"
"172041","이태원2동 공영주차장(구)","용산구 이태원동 227-9","NW","노외 주차장","1","시간제 주차장","02-796-3472","111","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2020-05-12 16:00:13","N","무료","N","무료","160000","","250","5","250","5","0","0","0","0","0"
"172051","한강진 역공영주차장(시)","용산구 한남동 728-27","NW","노외 주차장","1","시간제 주차장","02-795-6406","176","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2022-08-17 16:00:22","N","무료","N","무료","168000","","400","5","400","5","0","0","0","0","0"
"172065","용산주차빌딩 공영주차장(시)","용산구 한강로2가 12-9","NW","노외 주차장","1","시간제 주차장","02-2290-6014","561","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2022-08-17 15:46:31","N","무료","N","무료","168000","","300","5","300","5","0","0","0","0","0"
"172068","용산2가소월주차장(구)","용산구 용산동2가 11-0","NW","노외 주차장","1","시간제 주차장","02-749-5314","56","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:31:04","N","무료","N","무료","140000","","150","5","150","5","0","0","0","0","0"
"172083","응봉동(건물) 공영주차장(구)","성동구 행당동 341-59","NW","노외 주차장","1","시간제 주차장","02-2204-7970","150","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2022-04-29 13:18:33","N","무료","N","무료","50000","","50","5","500","5","0","0","0","0",""
"172084","도선동(지하) 공영주차장(구)","성동구 홍익동 369-0","NW","노외 주차장","1","시간제 주차장","02-2204-7970","190","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2022-04-29 13:16:38","N","무료","N","무료","70000","","100","5","100","5","0","0","0","0",""
"172089","홍익동(건물) 공영주차장(구)","성동구 홍익동 252-0","NW","노외 주차장","1","시간제 주차장","02-2204-7970","85","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2022-04-29 13:16:11","N","무료","N","무료","70000","","100","5","100","5","0","0","0","0",""
"172120","성수1가1동(건물) 공영주차장(구)","성동구 성수동1가 656-260","NW","노외 주차장","1","시간제 주차장","02-2204-7970","93","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2022-04-29 13:19:38","N","무료","N","무료","70000","","100","5","100","5","0","0","0","0",""
"172130","성수2가3동(건물) 공영주차장(구)","성동구 성수동2가 299-19","NW","노외 주차장","1","시간제 주차장","02-2204-7970","196","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2022-04-29 13:20:38","N","무료","N","무료","70000","","100","5","100","5","0","0","0","0",""
"172134","성수2가1동(건물) 공영주차장(구)","성동구 성수동2가 571-1","NW","노외 주차장","1","시간제 주차장","02-2204-7970","163","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2022-04-29 13:20:24","N","무료","N","무료","70000","","100","5","100","5","0","0","0","0",""
"172144","강변(건물) 공영주차장(구)","성동구 성수동1가 366-1","NW","노외 주차장","1","시간제 주차장","02-2204-7970","101","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2022-04-29 13:19:22","N","무료","N","무료","","","100","5","100","5","0","0","0","0",""
"172149","용답동(건물) 공영주차장(구)","성동구 용답동 4-1","NW","노외 주차장","1","시간제 주차장","02-2204-7970","164","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2022-04-29 13:21:14","N","무료","N","무료","70000","","100","5","100","5","0","0","0","0",""
"172178","자양유수지 공영주차장(구)","광진구 자양동 594-0","NW","노외 주차장","1","시간제 주차장","02-2049-4596","281","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2021-09-13 17:47:18","N","무료","N","무료","0","","150","5","0","0","0","0","0","0","0"
"172184","동서울 노외주차장(구)","광진구 구의동 598-1","NW","노외 주차장","1","시간제 주차장","","25","Y","유료","N","야간 미개방","0800","1900","0800","1900","0000","0000","2019-06-10 09:31:14","N","무료","Y","유료","100000","","250","5","250","5","0","0","0","0","30000"
"172198","구의1동 공영주차장(구)","광진구 구의동 243-78","NW","노외 주차장","1","시간제 주차장","02-2049-4596","172","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2023-02-06 16:47:24","N","무료","N","무료","","","150","5","0","0","0","0","0","0","0"
"172204","능동공영주차장(구)","광진구 능동 205-0","NW","노외 주차장","1","시간제 주차장","02-2049-4596","77","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2021-09-13 17:44:47","N","무료","N","무료","0","","150","5","0","0","0","0","0","0","0"
"172215","화양동 공영(구)","광진구 화양동 63-2","NW","노외 주차장","1","시간제 주차장","","44","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:31:16","N","무료","N","무료","80000","","150","5","150","5","0","0","0","0",""
"172218","자양4동 공영주차장(구)","광진구 자양동 5-5","NW","노외 주차장","1","시간제 주차장","02-2049-4595","83","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2023-02-06 16:43:30","N","무료","N","무료","100000","","150","5","0","0","0","0","0","0","0"
"172228","외대역주차빌딩 공영(구)","동대문구 이문동 306-14","NW","노외 주차장","1","시간제 주차장","","84","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:31:16","N","무료","N","무료","170000","","500","10","500","10","0","0","0","0",""
"172230","청량리동 노외주차장(구)","동대문구 청량리동 51-4","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2247-9664~6","26","Y","유료","N","야간 미개방","0900","1900","0900","1900","0900","1900","2019-06-10 09:31:17","N","무료","N","무료","","","1000","60","0","0","0","0","0","0","10000"
"172259","장영당길 공영주차장(구3동)(구)","동대문구 답십리동 484-7","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2247-9664~6","193","Y","유료","N","야간 미개방","0900","1900","0900","1900","0900","1900","2019-06-10 09:31:19","N","무료","N","무료","","","1000","60","0","0","0","0","0","0","10000"
"172272","동답 공영주차장(구)","동대문구 답십리동 2-283","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2247-9664~6","67","Y","유료","N","야간 미개방","0900","1900","0900","1900","0900","1900","2019-06-10 09:34:29","N","무료","N","무료","","","1000","60","0","0","0","0","0","0","10000"
"172282","회기동 공영주차장(구)","동대문구 회기동 1-1","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2247-9664~6","100","Y","유료","N","야간 미개방","0900","1900","0900","1900","0900","1900","2019-06-10 09:34:29","N","무료","N","무료","","","1000","60","0","0","0","0","0","0","10000"
"172297","청량리동 공영주차장(구)","동대문구 청량리동 435-0","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2247-9664~6","67","Y","유료","N","야간 미개방","0900","1900","0900","1900","0900","1900","2019-06-10 09:34:30","N","무료","N","무료","","","1000","60","0","0","0","0","0","0","10000"
"172303","늘봄주차장(구)","중랑구 면목동 22-12","NW","노외 주차장","1","시간제 주차장","02-437-1987","72","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:34:33","N","무료","N","무료","50000","","100","5","100","5","0","0","0","0","0"
"172318","용마폭포공원공영주차장(구)","중랑구 면목동 1-4","NW","노외 주차장","3","시간제 + 거주자 주차장","","119","Y","유료","N","야간 미개방","0900","2100","0900","2100","0000","0000","2019-06-10 09:34:35","N","무료","N","무료","70000","","100","5","100","5","0","0","0","0",""
"172321","까치공원공영주차장(구)","중랑구 면목동 570-0","NW","노외 주차장","1","시간제 주차장","080-490-3894","90","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:34:35","N","무료","N","무료","50000","","100","5","100","5","0","0","0","0","0"
"172344","원묵 고등학교 공용 지하주차장(구)","중랑구 묵동 23-0","NW","노외 주차장","1","시간제 주차장","","107","Y","유료","N","야간 미개방","0000","0000","0000","0000","0000","0000","2019-06-10 09:31:21","Y","유료","Y","유료","50000","","50","5","50","5","0","0","0","0","0"
"172367","은행나무공영주차장(구)","중랑구 면목동 107-5","NW","노외 주차장","1","시간제 주차장","","97","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:31:22","N","무료","N","무료","50000","","100","5","100","5","0","0","0","0","0"
"172378","면목5동공영주차장(구)","중랑구 면목동 162-22","NW","노외 주차장","1","시간제 주차장","02-432-4174","67","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:31:24","N","무료","N","무료","50000","","100","5","100","5","0","0","0","0","0"
"172382","봉화산역(남) 공영주차장(시)","중랑구 신내동 647-0","NW","노외 주차장","1","시간제 주차장","02-1688-1054","88","Y","유료","N","야간 미개방","0900","2200","0900","2200","0900","2200","2021-10-08 14:56:36","N","무료","N","무료","42000","","80","5","80","5","0","0","0","0","0"
"172384","동원시장공영주차장(구)","중랑구 면목동 74-33","NW","노외 주차장","1","시간제 주차장","","26","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:31:25","N","무료","N","무료","50000","","100","5","100","5","0","0","0","0","0"
"172385","상봉2동공영주차장(구)","중랑구 상봉동 110-38","NW","노외 주차장","1","시간제 주차장","02-1577-3325","83","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:31:25","N","무료","N","무료","50000","","100","5","100","5","0","0","0","0","0"
"172386","중화1동공영주차장(구)","중랑구 중화동 29-2","NW","노외 주차장","1","시간제 주차장","02-438-7489","130","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:31:26","N","무료","N","무료","50000","","100","5","100","5","0","0","0","0",""
"172459","시네마빌딩공영주차장(구)","성북구 돈암동 538-59","NW","노외 주차장","1","시간제 주차장","070-8644-8323","100","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:33:56","N","무료","N","무료","86000","","150","5","150","5","0","0","0","0","10000"
"172478","벤처빌딩(구)","성북구 장위동 65-154","NW","노외 주차장","1","시간제 주차장","","56","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:37:26","N","무료","N","무료","80000","","150","5","150","5","0","0","0","0","10000"
"172480","마을공원(구)","성북구 장위동 77-79","NW","노외 주차장","1","시간제 주차장","","98","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:37:26","N","무료","N","무료","96000","","150","5","150","5","0","0","0","0","10000"
"172530","대지시장길 공영주차장(구)","강북구 미아동 703-8","NW","노외 주차장","1","시간제 주차장","02-944-3035","47","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:34:06","N","무료","N","무료","100000","","200","5","200","5","0","0","0","0","10000"
"172540","동방고개(구)","성북구 장위동 230-110","NW","노외 주차장","1","시간제 주차장","","66","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:37:26","N","무료","N","무료","80000","","150","5","150","5","0","0","0","0","10000"
"172550","송중동 공영주차장(구)","강북구 미아동 48-1","NW","노외 주차장","1","시간제 주차장","02-944-3038","53","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:34:07","N","무료","N","무료","100000","","200","5","200","5","0","0","0","0","10000"
"172562","시범 공영주차장(구)","강북구 수유동 190-11","NW","노외 주차장","1","시간제 주차장","02-944-3029","45","Y","유료","N","야간 미개방","0800","2200","0800","2200","0900","1800","2019-06-10 09:34:07","N","무료","N","무료","","","250","5","250","5","0","0","0","0","15000"
"172563","오패산공영주차장(구)","강북구 미아동 133-100","NW","노외 주차장","1","시간제 주차장","02-944-3041","76","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:34:08","N","무료","N","무료","60000","","150","5","150","5","0","0","0","0","10000"
"172564","냉천길 공영주차장(구)","강북구 미아동 756-1","NW","노외 주차장","1","시간제 주차장","02-944-3040","103","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:34:08","N","무료","N","무료","100000","","200","5","200","5","0","0","0","0","10000"
"172580","인수동 공영주차장(구)","강북구 수유동 126-0","NW","노외 주차장","1","시간제 주차장","02-944-3045","89","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:34:08","N","무료","N","무료","100000","","200","5","200","5","0","0","0","0","10000"
"172582","쌍문2동 2공영주차장(구)","도봉구 쌍문동 81-102","NW","노외 주차장","2","거주자 우선 주차장","02-2091-4215","18","Y","유료","N","야간 미개방","0000","0000","0000","0000","0000","0000","2021-01-11 15:32:38","N","무료","N","무료","0","","0","0","0","0","0","0","0","0","0"
"172592","도봉2동 법조타운 공영주차장(구)","도봉구 도봉동 624-105","NW","노외 주차장","3","시간제 + 거주자 주차장","02-901-5100","155","Y","유료","N","야간 미개방","0900","1800","0900","1800","0900","1800","2022-05-27 11:24:21","N","무료","N","무료","0","","100","5","100","5","0","0","0","0","0"
"172594","교통광장 공영주차장(구)","강북구 우이동 265-0","NW","노외 주차장","1","시간제 주차장","02-944-3027","56","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:38:02","N","무료","N","무료","100000","","200","5","200","5","0","0","0","0","10000"
"172602","창2동4공영주차장(구)","도봉구 창동 582-22","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2091-4215","82","Y","유료","N","야간 미개방","0900","1800","0900","1800","0900","1800","2019-09-09 07:43:57","N","무료","N","무료","","","100","5","100","5","0","0","0","0",""
"172605","우이동 공영주차장(무인)(구)","강북구 우이동 105-2","NW","노외 주차장","1","시간제 주차장","02-944-3044","82","N","무료","N","야간 미개방","0000","0000","0000","0000","0000","0000","2019-06-10 09:35:27","Y","유료","Y","유료","60000","","0","0","0","0","0","0","0","0","0"
"172632","동막골 (구)","노원구 상계동 31-0","NW","노외 주차장","1","시간제 주차장","02-939-7708","38","Y","유료","N","야간 미개방","0900","1800","1000","1400","0000","0000","2019-06-10 09:34:11","N","무료","Y","유료","100000","","150","5","150","5","0","0","0","0","8100"
"172643","수색동공영주차장(구)","은평구 수색동 78-2","NW","노외 주차장","1","시간제 주차장","","111","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-11-27 16:18:22","N","무료","N","무료","70000","","100","5","100","5","0","0","0","0",""
"172650","창1동 1공영주차장(구)","도봉구 창동 657-37","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2091-4215","42","Y","유료","N","야간 미개방","0900","1800","0900","1800","0900","1800","2019-09-09 07:46:05","N","무료","N","무료","0","","100","5","100","5","0","0","0","0","0"
"172663","창3동 1공영주차장(구)","도봉구 창동 504-21","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2091-4215","80","Y","유료","N","야간 미개방","0900","1800","0900","1800","0900","1800","2019-09-09 07:43:13","N","무료","N","무료","0","","100","5","100","5","0","0","0","0","0"
"172683","새장골공영주차장(구)","은평구 불광동 480-352","NW","노외 주차장","1","시간제 주차장","02-355-5947","40","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:38:24","N","무료","N","무료","70000","","100","5","100","5","0","0","0","0",""
"172695","건영백화점앞(구)","노원구 중계동 507-0","NW","노외 주차장","1","시간제 주차장","02-949-7705","137","Y","유료","N","야간 미개방","1000","2000","1000","1800","1100","1800","2019-06-10 09:34:13","N","무료","N","무료","150000","","250","5","250","5","0","0","0","0","16500"
"172696","등나무근린공원(구)","노원구 중계동 508-1","NW","노외 주차장","1","시간제 주차장","02-949-7706","151","Y","유료","N","야간 미개방","1030","2100","1030","2200","0000","0000","2019-06-10 09:37:27","N","무료","Y","유료","150000","","250","5","250","5","0","0","0","0","16500"
